Attraction,Date,Visitors
AMPARITAS INTEGRATED NATURE FARM,2022-01-01,534.0
AMPARITAS INTEGRATED NATURE FARM,2022-02-01,606.0
AMPARITAS INTEGRATED NATURE FARM,2022-03-01,2414.0
AMPARITAS INTEGRATED NATURE FARM,2022-04-01,3293.0
AMPARITAS INTEGRATED NATURE FARM,2022-05-01,1341.0
AMPARITAS INTEGRATED NATURE FARM,2022-06-01,712.0
AMPARITAS INTEGRATED NATURE FARM,2022-07-01,749.0
AMPARITAS INTEGRATED NATURE FARM,2022-08-01,519.0
AMPARITAS INTEGRATED NATURE FARM,2022-09-01,335.0
AMPARITAS INTEGRATED NATURE FARM,2022-10-01,2648.0
AMPARITAS INTEGRATED NATURE FARM,2022-11-01,4500.0
AMPARITAS INTEGRATED NATURE FARM,2022-12-01,1499.0
AMPARITAS INTEGRATED NATURE FARM,2023-01-01,578.0
AMPARITAS INTEGRATED NATURE FARM,2023-02-01,301.0
AMPARITAS INTEGRATED NATURE FARM,2023-03-01,0.0
AMPARITAS INTEGRATED NATURE FARM,2023-04-01,1076.0
AMPARITAS INTEGRATED NATURE FARM,2023-05-01,508.0
AMPARITAS INTEGRATED NATURE FARM,2023-06-01,300.0
AMPARITAS INTEGRATED NATURE FARM,2023-07-01,376.0
AMPARITAS INTEGRATED NATURE FARM,2023-08-01,578.0
AMPARITAS INTEGRATED NATURE FARM,2023-09-01,248.0
AMPARITAS INTEGRATED NATURE FARM,2023-10-01,359.0
AMPARITAS INTEGRATED NATURE FARM,2023-11-01,337.0
AMPARITAS INTEGRATED NATURE FARM,2023-12-01,166.0
AMPARITAS INTEGRATED NATURE FARM,2024-01-01,45.0
AMPARITAS INTEGRATED NATURE FARM,2024-02-01,222.0
AMPARITAS INTEGRATED NATURE FARM,2024-03-01,402.0
AMPARITAS INTEGRATED NATURE FARM,2024-04-01,4356.0
AMPARITAS INTEGRATED NATURE FARM,2024-05-01,530.0
AMPARITAS INTEGRATED NATURE FARM,2024-06-01,583.0
AMPARITAS INTEGRATED NATURE FARM,2024-07-01,501.0
AMPARITAS INTEGRATED NATURE FARM,2024-08-01,405.0
AMPARITAS INTEGRATED NATURE FARM,2024-09-01,213.0
AMPARITAS INTEGRATED NATURE FARM,2024-10-01,456.0
